epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,357.131,0.56847,0.51324,1.13108,0.99784,1,0.995,0.9617,0.30665,0.21821,0.87371,7.12282e-05,7.12282e-05,7.12282e-05
170,359.037,0.53703,0.44694,1.08913,0.99782,1,0.995,0.96084,0.29895,0.21544,0.86567,6.7536e-05,6.7536e-05,6.7536e-05
171,360.893,0.57439,0.44696,1.11883,0.99778,1,0.995,0.96108,0.29768,0.21426,0.8639,6.39518e-05,6.39518e-05,6.39518e-05
172,362.801,0.6402,0.50751,1.18642,0.99776,1,0.995,0.96334,0.29402,0.21566,0.86039,6.04763e-05,6.04763e-05,6.04763e-05
173,364.696,0.64049,0.50903,1.21061,0.99772,1,0.995,0.96861,0.28972,0.21634,0.85822,5.71106e-05,5.71106e-05,5.71106e-05
174,366.772,0.52457,0.41889,1.09415,0.99767,1,0.995,0.9712,0.28274,0.2136,0.85487,5.38554e-05,5.38554e-05,5.38554e-05
175,368.818,0.59961,0.483,1.14296,0.99764,1,0.995,0.97193,0.28218,0.21152,0.85473,5.07115e-05,5.07115e-05,5.07115e-05
176,370.931,0.62386,0.51701,1.18879,0.99759,1,0.995,0.96983,0.29106,0.21001,0.85718,4.76796e-05,4.76796e-05,4.76796e-05
177,372.83,0.56369,0.47706,1.12213,0.99756,1,0.995,0.96898,0.29995,0.21525,0.86042,4.47606e-05,4.47606e-05,4.47606e-05
178,374.745,0.53575,0.38561,1.09999,0.99755,1,0.995,0.96302,0.31896,0.2197,0.86762,4.19552e-05,4.19552e-05,4.19552e-05
179,376.618,0.62348,0.4722,1.14274,0.99761,1,0.995,0.96557,0.32329,0.22132,0.87011,3.9264e-05,3.9264e-05,3.9264e-05
180,378.539,0.63054,0.58015,1.17367,0.9977,1,0.995,0.96701,0.32593,0.22125,0.87192,3.66877e-05,3.66877e-05,3.66877e-05
181,380.409,0.53221,0.43569,1.12428,0.99772,1,0.995,0.96928,0.324,0.22015,0.87154,3.4227e-05,3.4227e-05,3.4227e-05
